Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
15-075c,Ribbon No 2 Reef (No 3) (15-075c),145.778,-15.573,13.002,Marine National Park,Northern Management Area,2,Northern
15-096,Agincourt Reefs (No 4) (15-096),145.821,-15.95,1289.985,Marine National Park,Northern Management Area,2,Northern
15-099a,Agincourt Reefs (No 3) (15-099a),145.832,-15.99,778.043,Marine National Park,Northern Management Area,2,Northern
15-099b,Agincourt Reefs (No 2a) (15-099b),145.851,-16.018,141.039,Marine National Park,Northern Management Area,2,Northern
15-099c,Agincourt Reefs (No 1) (15-099c),145.867,-16.052,215.266,Marine National Park,Northern Management Area,2,Northern
15-099d,Agincourt Reefs (No 5) (15-099d),145.835,-16.035,292.574,Marine National Park,Northern Management Area,2,Northern
16-013a,U/N Reef (16-013a),145.794,-16.019,43.297,Marine National Park,Northern Management Area,2,Northern
16-013b,U/N Reef (16-013b),145.808,-16.019,36.108,Marine National Park,Northern Management Area,2,Northern
16-046,Upolu Reef (16-046),145.937,-16.674,1468.624,Marine National Park,Northern Management Area,2,Northern
17-004,Scott Reef (17-004),146.185,-17.074,1940.751,Marine National Park,Northern Management Area,2,Northern
17-014,Hedley Reef (17-014),146.484,-17.229,3981.571,Marine National Park,Northern Management Area,2,Northern
17-034,Feather Reef (17-034),146.377,-17.533,1767.714,Marine National Park,Northern Management Area,2,Northern
17-035,Nathan Reef (17-035),146.518,-17.525,4587.759,Marine National Park,Northern Management Area,2,Northern
17-051,Beaver Reef (17-051),146.484,-17.85,1887.696,Marine National Park,Northern Management Area,2,Northern
17-064,Taylor Reef (17-064),146.55,-17.833,1793.972,Marine National Park,Northern Management Area,2,Northern
18-020,Duncan Reef (18-020),146.787,-18.084,2232.618,Marine National Park,Central Management Area,3,Central
18-025,U/N Reef (18-025),146.898,-18.261,478.718,Marine National Park,Central Management Area,3,Central
18-034,Myrmidon Reef (18-034),147.384,-18.266,1070.395,Marine National Park,Central Management Area,3,Central
